zip,latitude,longitude,bbox
90249,33.901487,-118.317053,"-118.335118,33.882821,-118.299765,33.91741"
90250,33.914316,-118.349302,"-118.378703,33.894654,-118.313391,33.931965"
90254,33.864788,-118.39925,"-118.414124,33.850466,-118.38473,33.877821"
90255,33.976997,-118.217245,"-118.237907,33.959029,-118.188865,33.996357"
90260,33.888297,-118.351299,"-118.378741,33.872854,-118.331254,33.901936"
90262,33.923601,-118.200498,"-118.230324,33.904637,-118.175306,33.945441"
90263,34.039034,-118.707992,"-118.713383,34.034219,-118.701769,34.044412"
90265,34.06947,-118.845728,"-119.068335,33.995507,-118.566901,34.148593"
90266,33.88966,-118.400636,"-118.430009,33.872804,-118.378599,33.906141"
90270,33.988065,-118.186146,"-118.204661,33.97951,-118.162556,33.99667"
90272,34.078725,-118.542228,"-118.587533,34.024999,-118.495177,34.13165"
90274,33.7777,-118.372294,"-118.433247,33.74232,-118.315172,33.804349"
90275,33.751543,-118.367042,"-118.425467,33.71421,-118.301,33.795466"
90277,33.829628,-118.387169,"-118.405002,33.804118,-118.370377,33.858076"
90278,33.873216,-118.37036,"-118.391371,33.854356,-118.352347,33.894653"
90280,33.944601,-118.192573,"-118.231485,33.909964,-118.156237,33.966265"
90290,34.095879,-118.607075,"-118.651776,34.03877,-118.564752,34.141851"
90291,33.993351,-118.465033,"-118.486455,33.976519,-118.444341,34.009881"
90292,33.976806,-118.449774,"-118.471863,33.95876,-118.423293,33.994206"
90293,33.946844,-118.440591,"-118.464085,33.916318,-118.413978,33.975016"
90301,33.956526,-118.358653,"-118.37885,33.945395,-118.343908,33.97116"
90302,33.974744,-118.355509,"-118.376771,33.963804,-118.335186,33.98297"
90303,33.938019,-118.332291,"-118.347454,33.923701,-118.317686,33.954322"
90304,33.937887,-118.358559,"-118.378432,33.923643,-118.343893,33.94646"
90305,33.959523,-118.330151,"-118.34405,33.945452,-118.31772,33.974447"
90401,34.014191,-118.49412,"-118.505885,34.004094,-118.482914,34.025633"
90402,34.034726,-118.504504,"-118.521865,34.018217,-118.483766,34.05056"
90403,34.029913,-118.491535,"-118.51226,34.013035,-118.47096,34.046699"
90404,34.026608,-118.473643,"-118.490271,34.012045,-118.453,34.041334"
90405,34.011078,-118.46939,"-118.4952,33.993572,-118.443517,34.027961"
90501,33.833442,-118.314253,"-118.331016,33.802212,-118.298156,33.858361"
90502,33.83502,-118.292896,"-118.299427,33.808959,-118.284917,33.858854"
